"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Trump is sad. Has global warming got you down Donald? Just remember it's only a Chinese hoax!
 In response to:¡¦ https://t.co/8LRli4Osa1",FALSE,0,NA,2020-05-05 16:55:35,TRUE,NA,"1257715577709191170",NA,"<a href=""https://twitch.tv/caelumcasts"" rel=""nofollow"">Trump Feels</a>","TrumpsEmotions",0,FALSE,FALSE,NA,NA
"RT @richardhine: Why would America want to recreate the failed @realDonaldTrump economy?

In December 2017, #Trump claimed that his massive¡¦",FALSE,0,NA,2020-05-05 16:55:34,FALSE,NA,"1257715571640070145",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","JasperJ77",13,TRUE,FALSE,NA,NA
"RT @9NEWSNANCY: Somethings never get old.<U+0001F923>

I will ALWAYS vote #TRUMP2020

¡°Talkers think about the future. Doers are already building it¡±¡¦",FALSE,0,NA,2020-05-05 16:55:27,FALSE,NA,"1257715545320960002",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mouser_jeanie",415,TRUE,FALSE,NA,NA
"#Trump is suing to stop this ad. Be sure to watch it. #TrumpLiesPeopleDie
https://t.co/y0wvbOc3U9",FALSE,0,NA,2020-05-05 16:55:26,FALSE,NA,"1257715538714910720",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","episcogal",0,FALSE,FALSE,NA,NA
"Trump complains so much about how everyone hates him, someone should make sure his diaper isn't full.
#Trump¡¦ https://t.co/e66QFj7QWB",FALSE,0,NA,2020-05-05 16:55:23,TRUE,NA,"1257715528644259840",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","KenLaSalle",0,FALSE,FALSE,NA,NA
"RT @SusieHeavens: A trade deal with #Trump could rip up our food standards and open up our #NHS to US corporations. Take action to stop it:¡¦",FALSE,0,NA,2020-05-05 16:55:21,FALSE,NA,"1257715517072310275",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","andywartrol",14,TRUE,FALSE,NA,NA
"#Trump #Flaws Made Obvious By Crisis https://t.co/ZLUfjM6g8b",FALSE,0,NA,2020-05-05 16:55:13,FALSE,NA,"1257715486793568256",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","MikeAll30808974",0,FALSE,FALSE,NA,NA
"RT @mobygrapefan: OK #Joebots,HOW is #Biden different than #Trump?#JoeBiden says he will keep #US Embassy in #Jerusalem if elected  https:/¡¦",FALSE,0,NA,2020-05-05 16:55:12,FALSE,NA,"1257715481009520648",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","OldSilasWebster",3,TRUE,FALSE,NA,NA
"RT @richardhine: Why would America want to recreate the failed @realDonaldTrump economy?

In December 2017, #Trump claimed that his massive¡¦",FALSE,0,NA,2020-05-05 16:55:00,FALSE,NA,"1257715431852445704",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TheDailyEdge",13,TRUE,FALSE,NA,NA
"RT @AndyOstroy: @realDonaldTrump A sociopath...alone in a house he doesn¡¯t belong in...in a job he¡¯s not qualified for...during a national¡¦",FALSE,0,NA,2020-05-05 16:55:00,FALSE,NA,"1257715430417989633",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","AnthonyMarley20",1319,TRUE,FALSE,NA,NA
"We see people do this, too, just before they are about to change. We see people who self-destruct being the ones wh¡¦ https://t.co/2spbH2KqSi",FALSE,0,NA,2020-05-05 16:55:00,TRUE,NA,"1257715429310558209",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","sillymickel",0,FALSE,FALSE,NA,NA
"RT @mog7546: Coronavirus Update (Live):  #USA

Total Cases.             1,218,638
New Cases Today.      +5,803

TOTAL DEATHS.            70¡¦",FALSE,0,NA,2020-05-05 16:54:59,FALSE,NA,"1257715425867116545",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SecretTortoise",2,TRUE,FALSE,NA,NA
"@atrupar Wow. #Trump is nuts! #TrumpPressBriefing #TrumpIsTheWORSTPresidentEVER #TrumpIsACompleteFailure¡¦ https://t.co/hC6C3HkkdU",FALSE,0,"atrupar",2020-05-05 16:54:58,TRUE,"1257682123353460736","1257715423077781504","288277167","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","JessicaRN1995",0,FALSE,FALSE,NA,NA
"@realDonaldTrump That you consider 134000 deaths success shows how sick you really are #Trump",FALSE,0,"realDonaldTrump",2020-05-05 16:54:56,FALSE,"1257714716492722176","1257715412697001989","25073877","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Thseldo4me",0,FALSE,FALSE,NA,NA
"RT @pollsofpolitics: Who will you be voting for in the #2020election for #POTUS @JoeBiden, @realDonaldTrump or 3rd party??

Please Vote and¡¦",FALSE,0,NA,2020-05-05 16:54:53,FALSE,NA,"1257715400537669634",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","LissaLove123",778,TRUE,FALSE,NA,NA
"RT @iPicNews: @JoyceWhiteVance Why did Justice Kennedy retire so abruptly? What role did his son at #DeutscheBank play? Who paid off Brett¡¦",FALSE,0,NA,2020-05-05 16:54:52,FALSE,NA,"1257715397584773120",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mirandamuseum",36,TRUE,FALSE,NA,NA
"RT @LanceRoberts: Aaaaannnnd....It's Gone.
Pretty amazing....all of the touted job gains from both #Obama and #Trump gone in a single month¡¦",FALSE,0,NA,2020-05-05 16:54:48,FALSE,NA,"1257715380165898240",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DCHM1913",40,TRUE,FALSE,NA,NA
"RT @betepolitique: AI might defeat #Trump because #Biden's intelligence surely won't.<U+0001F602> https://t.co/sppeNHtKKr",FALSE,0,NA,2020-05-05 16:54:44,FALSE,NA,"1257715362185072645",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Nieczuja_clan",1,TRUE,FALSE,NA,NA
"RT @AndyOstroy: The way these #Trump cult freaks are treating cops, nurses and doctors is fucking disgusting...",FALSE,0,NA,2020-05-05 16:54:43,FALSE,NA,"1257715360243027968",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JANOBRUSK",374,TRUE,FALSE,NA,NA
"RT @AndyOstroy: Hey... remember when some folks didn¡¯t want a woman to be president because, under pressure, they¡¯d have an emotional meltd¡¦",FALSE,0,NA,2020-05-05 16:54:42,FALSE,NA,"1257715354064818182",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Willow_Day3",18,TRUE,FALSE,NA,NA
"RT @mog7546: Coronavirus Update (Live):  #USA

Total Cases.             1,218,638
New Cases Today.      +5,803

TOTAL DEATHS.            70¡¦",FALSE,0,NA,2020-05-05 16:54:40,FALSE,NA,"1257715347924238336",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","on_bender",2,TRUE,FALSE,NA,NA
"RT @deAdder: Cartoon for @chronicleherald #TrumpPressBriefing #TrumpTownHall #FoxNews #LincolnMemorial #trump #Trump2020 https://t.co/JfWSq¡¦",FALSE,0,NA,2020-05-05 16:54:38,FALSE,NA,"1257715339070042113",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","DragonF44593037",744,TRUE,FALSE,NA,NA
"#Trump officials try to enlist foreign allies in a pressure campaign against #China over coronavirus response¡¦ https://t.co/QGJCxqqKYH",FALSE,0,NA,2020-05-05 16:54:38,TRUE,NA,"1257715337216352257",NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for i¥ÏS</a>","Newzjunkie_",0,FALSE,FALSE,NA,NA
"RT @SusieHeavens: A trade deal with #Trump could rip up our food standards and open up our #NHS to US corporations. Take action to stop it:¡¦",FALSE,0,NA,2020-05-05 16:54:38,FALSE,NA,"1257715336515911681",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tickivoria",14,TRUE,FALSE,NA,NA
"¡°The fact is that we need to allocate resources for this,¡± said Pelosi. ¡°In order to do that, any appropriations bi¡¦ https://t.co/P4P2cg5vcl",FALSE,0,NA,2020-05-05 16:54:35,TRUE,NA,"1257715323643604993",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kelly_NPA",0,FALSE,FALSE,NA,NA
"Who's still not wearing a mask?

Im still not sick.

Open up the damn country!
#qanon #maga #trump¡¦ https://t.co/ccgs9FGZIv",FALSE,0,NA,2020-05-05 16:54:34,TRUE,NA,"1257715322523512832",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","honorbound1974",0,FALSE,FALSE,NA,NA
"Watching ""Waco"" on @Netflix . Watching to rational, compassionate @FBI negotiator deal with a bunch of gun-nut assh¡¦ https://t.co/hUVHTU0IMn",FALSE,0,NA,2020-05-05 16:54:34,TRUE,NA,"1257715321999327232",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TrumpForUSAKing",0,FALSE,FALSE,NA,NA
"RT @BetteMidler: #Trump claims because he had a ¡°super-genius¡± scientist uncle, he has a mind for science too. ¡°It¡¯s in my blood, I¡¯m smart¡¦",FALSE,0,NA,2020-05-05 16:54:34,FALSE,NA,"1257715321777139713",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","S61555032",265,TRUE,FALSE,NA,NA
